46 : 66755284.879693575
Gen 6143 : 66168826.50556356
Gen 6144 : 66164626.43833577
Gen 6145 : 66164003.64851121
Gen 6146 : 66148433.13339715
Gen 6147 : 66146205.16291971
Gen 6148 : 66143937.39720693
Gen 6149 : 66139297.14329267
Gen 6150 : 66133154.818125755
Gen 6151 : 66132232.368327536
Gen 6152 : 66125626.13491049
Gen 6153 : 66114065.77316421
Gen 6154 : 66108941.12804866
Gen 6155 : 66107668.466163486
Gen 6156 : 66107123.54945758
Gen 6157 : 66106829.90461842
Gen 6158 : 66106728.42079598
Gen 6159 : 66100431.87565635
Gen 6160 : 66098632.93266446
Gen 6161 : 66098354.89958396
Gen 6162 : 66092717.520114265
Gen 6163 : 66086334.37585939
Gen 6164 : 66086222.48598989
Gen 6165 : 66083202.01510926
Gen 6166 : 66081065.825018115
Gen 6167 : 66077849.85760493
Gen 6168 : 66076857.747531
Gen 6169 : 66076797.808428116
Gen 6170 : 66072329.98842359
Gen 6171 : 66070354.31036394
Gen 6172 : 66068946.72669246
Gen 6173 : 66065260.80235133
Gen 6174 : 66063585.238066435
Gen 6175 : 66057752.75834388
Gen 6176 : 66057332.26862695
Gen 6177 : 66049751.708322644
Gen 6178 : 66049521.42120425
Gen 6179 : 66048092.04919819
Gen 6180 : 66046361.42818637
Gen 6181 : 66046145.0924179
Gen 6182 : 66040625.17389186
Gen 6183 : 66040401.847796805
Gen 6184 : 66035108.92330777
Gen 6185 : 66033937.366759054
Gen 6186 : 66030909.5529729
Gen 6187 : 66024966.963287726
Gen 6188 : 66024684.79800795
Gen 6189 : 66018856.68257931
Gen 6190 : 66015392.028712
Gen 6191 : 66012058.15477153
Gen 6192 : 66011964.370846994
Gen 6193 : 66006737.7271614
Gen 6194 : 66006016.37362093
Gen 6195 : 66005969.02366331
Gen 6196 : 66005368.37794637
Gen 6197 : 66004558.85677521
Gen 6198 : 66001339.74069922
Gen 6199 : 66001159.999325134
Gen 6200 : 66000713.27876919
Gen 6201 : 65997363.600487806
Gen 6202 : 65997227.221603766
Gen 6203 : 65993891.61445043
Gen 6204 : 65993775.387822025
Gen 6205 : 65992203.27581083
Gen 6206 : 65988949.42791539
Gen 6207 : 65988781.79169256
Gen 6208 : 65984267.49135508
Gen 6209 : 65981600.08855457
Gen 6210 : 65978882.91348611
Gen 6211 : 65976118.639005944
Gen 6212 : 65974019.62552172
Gen 6213 : 65965263.77865977
Gen 6214 : 65962940.85791608
Gen 6215 : 65959158.18286917
Gen 6216 : 65958282.960913986
Gen 6217 : 65954765.87742871
Gen 6218 : 65954642.69077691
Gen 6219 : 65952243.067739286
Gen 6220 : 65952226.91527426
Gen 6221 : 65949834.05991872
Gen 6222 : 65945420.35750208
Gen 6223 : 65938620.919885494
Gen 6224 : 65932517.80666777
Gen 6225 : 65923189.56517795
Gen 6226 : 65922742.412226334
Gen 6227 : 65921936.4635134
Gen 6228 : 65917175.5694011
Gen 6229 : 65912660.20169849
Gen 6230 : 65909530.61953682
Gen 6231 : 65908545.119622804
Gen 6232 : 65906367.847295545
Gen 6233 : 65896118.11738729
Gen 6234 : 65890258.14741332
Gen 6235 : 65889939.13701624
Gen 6236 : 65889914.41908616
Gen 6237 : 65887684.639202446
Gen 6238 : 65886491.885107175
Gen 6239 : 65875803.85365107
Gen 6240 : 65869464.040767916
Gen 6241 : 65867279.03396264
Gen 6242 : 65866170.643631086
Gen 6243 : 65865598.064688876
Gen 6244 : 65864826.865056865
Gen 6245 : 65862664.41032824
Gen 6246 : 65862649.62177227
Gen 6247 : 65858850.66271409
Gen 6248 : 65858797.41094454
Gen 6249 : 65852712.137670524
Gen 6250 : 65852149.3305458
Gen 6251 : 65847001.63637633
Gen 6252 : 65846767.695256434
Gen 6253 : 65845256.109306835
Gen 6254 : 65843533.945888996
Gen 6255 : 65837679.77228681
Gen 6256 : 65836149.83153997
Gen 6257 : 65835327.94012076
Gen 6258 : 65835027.03900622
Gen 6259 : 65834407.29994719
Gen 6260 : 65833544.93415729
Gen 6261 : 65829970.00130188
Gen 6262 : 65820516.64091698
Gen 6263 : 65818685.60852151
Gen 6264 : 65813701.405708104
Gen 6265 : 65811666.570101276
Gen 6266 : 65811243.46753473
Gen 6267 : 65807316.886428274
Gen 6268 : 65806240.64060493
Gen 6269 : 65805479.10895552
Gen 6270 : 65799601.52182099
Gen 6271 : 65799337.12783613
Gen 6272 : 65797712.601484016
Gen 6273 : 65795274.5969823
Gen 6274 : 65793524.84686984
Gen 6275 : 65792317.8128199
Gen 6276 : 65784945.84176968
Gen 6277 : 65782148.54134573
Gen 6278 : 65781029.81944321
Gen 6279 : 65774877.41071221
Gen 6280 : 65767517.98069993
